According to https://heroes.thelazy.net/index.php/Hero_class

Secondary skill	Castle	Rampart	Tower	Inferno	Necropo	Dungeon	Strongh	Fortres	Conflux	Cove
				Mig	Mag	Mig	Mag	Mig	Mag	Mig	Mag	Mig	Mag	Mig	Mag	Mig	Mag	Mig	Mag	Mig	Mag	Mig	Mag
Air Magic		3	4 	1	2	4 	6 	2 	3 	2 	3 	1 	2 	3 	3	1 	3 	2	6	3	6
Archery			5	3 	8	5	5 	2 	6 	4 	5 	2 	6 	2 	7 	4	7 	3 	8	2	9	6
Armorer			5	3 	8	3	8 	1 	7 	4 	5 	2 	6 	1 	6 	4	10	4 	5	1	2	1
Artillery		5	2 	6	1	4 	1 	5 	4 	5 	3 	8 	1 	8 	4	8 	1 	8	1	5	1
Ballistics		8	4 	4	4	6 	4 	7 	6 	7 	5 	7 	6 	8 	6	7 	8 	8	4	5	2
Diplomacy		4	7 	4	4	3 	4 	4 	3 	2 	4 	3 	4 	1 	3	1 	2 	2	4	5	2
Eagle Eye		2	6 	2	7	3 	8 	3 	4 	4 	7 	2 	8 	2 	5	1 	10	2	8	4	2
Earth Magic		2	3 	3	4	3 	3 	3 	4 	4 	8 	3 	5 	3 	3	3 	3 	3	6	4	5
Estates			6	3 	2	3	4 	5 	3 	2 	0 	3 	4 	5 	2 	1	1 	1 	3	3	4	2
Fire Magic		1	2 	0	1	1 	2 	4 	5 	1 	2 	2 	5 	2 	3	0 	3 	3	6	2	2
First Aid		2	10 	3	7	2 	7 	2 	5 	0 	0 	1 	6 	1 	4	6 	8 	1	4	2	4
Intelligence	1	6 	2	7	4 	10	2 	6 	5 	6 	1 	8 	1 	5	1 	7 	1	8	3	8
Leadership		10	2 	6	2	3 	4 	3 	2 	0 	0 	8 	3 	5 	4	5 	1 	3	3	6	2
Learning		4	4 	4	4	10	4 	4 	4 	4 	4 	4 	4 	4 	4	4 	4 	8	4	2	4
Logistics		5	4 	5	5	6 	2 	10	3 	5 	4 	8 	2 	7 	9	8 	3 	8	2	6	3
Luck			3	5 	6	9	2 	4 	2 	2 	1 	1 	1 	2 	3 	2	2 	4 	2	2	7	4
Mysticism		2	4 	3	6	4 	8 	2 	10	4 	6 	3 	8 	3 	4	2 	8 	3	8	1	3
Navigation		8	5 	3	2	3 	1 	4 	2 	8 	5 	4 	4 	2 	0	8 	6 	5	4	6	6
Necromancy		0	0 	0	0	0 	0 	0 	0 	10	10	0 	0 	0 	0	0 	0 	0	0	0	0
Offense			7	4 	5	1	6 	1 	8 	4 	7 	3 	8 	1 	10	8	5 	2 	9	1	9	4
Pathfinding		4	2 	7	5	4 	2 	4 	4 	4 	6 	5 	2 	8 	4	8 	2 	6	2	8	6
Resistance		5	2 	9	1	5 	0 	6 	3 	5 	1 	6 	0 	6 	4	5 	0 	2	0	3	5
Scholar			1	6 	1	8	3 	9 	2 	5 	2 	6 	1 	8 	1 	4	1 	7 	1	8	1	5
Scouting		4	3 	7	2	4 	2 	5 	3 	4 	2 	5 	2 	8 	4	7 	2 	6	2	4	2
Sorcery			1	5 	2	6	3 	8 	3 	6 	4 	6 	2 	10	1 	6	1 	8 	1	8	2	6
Tactics			7	2 	5	1	4 	1 	6 	4 	5 	2 	10	1 	8 	5	6 	1 	8	1	6	4
Water Magic		4	4 	3	4	2 	3 	1 	2 	3 	3 	0 	2 	0 	3	2 	3 	2	6	2	9
Wisdom			3	7 	3	8	6 	10	4 	8 	6 	8 	3 	10	2 	6	2 	8 	2	8	1	8
Interference	5	0 	9	0	5 	0 	6 	0 	5 	0 	6 	0 	6 	1	5 	0 	2	0	3	1
