train_test.stats% stats 100
Sun May 22 01:21:58 2022    train_test.stats

         140008331 function calls (98040248 primitive calls) in 454.392 seconds

   Ordered by: internal time
   List reduced from 7210 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      320   57.245    0.179   57.245    0.179 {method 'run_backward' of 'torch._C._EngineBase' objects}
    15411   50.428    0.003   50.428    0.003 {built-in method torch._C._nn.linear}
     3840   44.270    0.012   44.270    0.012 {method 'sqrt' of 'torch._C._TensorBase' objects}
      320   29.028    0.091  140.845    0.440 C:\Users\mihai\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\torch\optim\_functional.py:64(adam)
  1727856   27.385    0.000   27.385    0.000 {built-in method torch._C._nn.one_hot}
    11526   24.314    0.002   24.314    0.002 {method 'mul_' of 'torch._C._TensorBase' objects}
     7680   21.635    0.003   21.635    0.003 {method 'add_' of 'torch._C._TensorBase' objects}
  1797401   20.994    0.000   20.994    0.000 {method 'float' of 'torch._C._TensorBase' objects}
     4160   19.913    0.005   19.913    0.005 {built-in method norm}
     3840   16.806    0.004   16.806    0.004 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
     2769   14.680    0.005   14.680    0.005 {built-in method cat}
     3840   12.824    0.003   12.824    0.003 {method 'addcmul_' of 'torch._C._TensorBase' objects}
25649775/3696169   10.362    0.000   15.910    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.1264.0_x64__qbz5n2kfra8p0\lib\json\encoder.py:333(_iterencode_dict)
     3828    8.341    0.002    8.341    0.002 {method 'zero_' of 'torch._C._TensorBase' objects}
1799850/2769    7.769    0.000   60.283    0.022 C:\Users\mihai\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\stable_baselines3\common\preprocessing.py:85(preprocess_obs)
14894786/3696826    6.404    0.000   17.425    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.1264.0_x64__qbz5n2kfra8p0\lib\json\encoder.py:277(_iterencode_list)
  1589401    4.827    0.000    4.827    0.000 {built-in method as_tensor}
     2048    3.256    0.002    5.597    0.003 C:\Users\mihai\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\stable_baselines3\common\buffers.py:696(add)
      320    3.227    0.010   57.884    0.181 C:\Users\mihai\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\stable_baselines3\common\policies.py:632(evaluate_actions)
  1730544    2.818    0.000    2.818    0.000 {method 'long' of 'torch._C._TensorBase' objects}
